Application Number,Application Date,Type of Request,Description of Request,Status of Request,Location,Reason for Petition,Reason for Petition (Other),Zoning Use Classification,Variance Board of Appeals,Board of Appeals Special Permit,Current Use,Proposed Use,Zoning District,Special Permit Hearing Deadline,Special Permit Decision Deadline,Variance Hearing Deadline,Variance Decision Deadline,Applied Online,Zoning Ordinance Cited Article (field1),Zoning Ordinance Cited Section (field1),Zoning Ordinance Cited Article (field2),Zoning Ordinance Cited Section (field2),Zoning Ordinance Cited Article (field3),Zoning Ordinance Cited Section (field3),Zoning Ordinance Cited Article (field4),Zoning Ordinance Cited Section (field4),Zoning Ordinance Cited Article (field5),Zoning Ordinance Cited Section (field5),Zoning Ordinance Cited Article (field6),Zoning Ordinance Cited Section (field6),Zoning Ordinance Cited Article (field7),Zoning Ordinance Cited Section (field7),Desc Of Relief Req,Summary For Publication,Total Gross Floor Area,Requested Total Gross Flr Area,Ordinance Total Gross Flr Area,Exisiting Lot Area,Requested Lot Area,Ordinance Lot Area,Existing Gross Floor Area Ratio,Requested Gross Floor Area Ratio,Ordinance Gross Floor Area Ratio,Existing Lot Area Dwelling Unit,Requested Lot Area Dwelling Unit,Ordinance Lot Area Dwelling Unit,Requested Size of Lot Width,Existing Size of Lot Width,Ordinance Size of Lot Width,Requested Size of Lot Depth,Existing Size of Lot Depth,Ordinance Size of Lot Depth,Existing Setbacks Front,Requested Setbacks Front,Ordinance Setbacks Front,Existing Setbacks Back,Requested Setbacks Back,Ordinance Setbacks Rear,Existing Setbacks Left Side,Requested Setbacks Left Side,Ordinance Setbacks Left Side,Existing Setbacks Right Side,Requested Setbacks Right Side,Ordinance Setbacks Right Side,Existing Size of Building Height,Requested Size of Building Height,Ordinance Size of Building Height,Existing Size Of Building Length,Requested Size of Building Length,Ordinance Size of Building Length,Existing Size of Building Width,Requested Size of Building Width,Ordinance Size of Building Width,Existing Usable Open Space Ratio,Requested Usable Open Space Ratio,Ordinance Useable Open Space Ratio,Existing No of Dwelling Units,Requested No of Dwelling Units,Ordinance No of Dwelling Units,Existing No of Parking Spaces,Requested No of Parking Spaces,Ordinance No of Parking Spaces,Existing No of Loading Areas,Requested No of Loading Areas,Ordinance No Of Loading Areas,Existing Distance to Nearest Bldg,Requested Distance to Nearest Bldg,Ordinance Distance to Nearest Building,Description of Other Occupancies,Literal Enforcement,Desirable Relief Public Good,Desirable Relief Nullifying,Land Topography Hardship,Requirements Of Ordinance,TrafficPatterns,Continued Operation,Nuisance Or Hazard,Other Reasons,Petitioner City,Petitioner State,Decision Date
BZA-003503-2014,03/27/2014,Special Permit,Special Permit:  AT&T proposes to add twelve (12) antennas on the building rooftop along with a generator. Antennas will be pipe mounted onto existing screen walls and painted to match the screen walls to which they'll be attached. An equipment room will be located in the building's clock tower.,Approved,"238 Main Street
Cambridge, MA
(42.362254, -71.084668)",,Wireless Telecommunication Facility,Wireless Communications,No,Yes,Retail-Office,Wireless Communications,Residence C-3B Zone,05/31/2014,07/23/2014,,,Yes,4.000,4.32.G.1  (Telecommunication Facility).,4.000,4.40 (Footnote 49) (Telecommunication Facility).,10.000,10.40-10.46 (Special Permit).,,,,,,,,,AT&T proposes to add twelve (12) antennas on the building rooftop along with a generator. Antennas will be pipe mounted onto existing screen walls and painted to match the screen walls to which they'll be attached. An equipment room will be located in the building's clock tower. See attached plans for details.,Special Permit:  AT&T proposes to add twelve (12) antennas on the building rooftop along with a generator. Antennas will be pipe mounted onto existing screen walls and painted to match the screen walls to which they'll be attached. An equipment room will be located in the building's clock tower.,N/A,N/A,N/A,"20,622 sf",N/A,"5,000 sf",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"65'7""",no change,no change,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,The lot consists of a mixed use retail/office building. AT&T proposed to take over available space on the rooftop to install twelve (12) antennas painted to match existing screen walls to which they will be attached. An equipment room will be located within the building's clock tower and a generator will also be placed on the roof. See attached plans for details.,N/A,N/A,N/A,N/A,The proposed Wireless Communications Facility will comply with all applicable Special Permit criteria as stated in the ordinance and as shown in the application letter accompanying this form.,"The facility will be unmanned. Other than one or two visits per month for routine maintenance, it will not generate any traffic.","The facility will not have any adverse affect on the continued operation or development of adjacent uses. It will not create any nuisance or consume any public utilties that would diminish the availability of such utilities to adjacent properties. In fact, it will enhance adjacent uses by providing wireless communications services to the surround general public.","The facility will not create any nuisance or hazard that would be detrimental to anyone's health, safety and/or welfare. It will not generate any glare, odors, particulate matter or other nuisance that might disturb neighbors' quiet enjoyment. AT&T will comply with applicable FCC regulations concering radio frequency emissions. It will install, construct and operate the Facility in accordance with all applicable codes.","The facility will not impair the integrity of the C-3B, the Overlay or adjoining districts. It will not be incompatible with residential and non-residential uses in the area.",Raynham,MA,06/05/2014
BZA-016989-2018,08/09/2018,Variance,Variance:  To add a covered entry porch on the side of the existing house which will violate the side yard setback requirements.,Approved,"180 PROSPECT ST
Cambridge, MA
(42.36981, -71.10068)",,,2-family residence,Yes,No,2-family Residence,2 family residence,Residence C-1 Zone,,,10/19/2018,11/23/2018,Yes,5.000,5.31 (Table of Dimensional Requirements).,8.000,8.22.3 (Non-Conforming Structure).,,,,,,,,,,,The petitioner would like to add a covered entry porch on the side of the existing house which will violate the side yard setback requirements.,Variance:  To add a covered entry porch on the side of the existing house which will violate the side yard setback requirements.,2816.5,2960.5,4509,6012,6012,5000,0.47,0.49,0.75,3006,3006,1500,"36'3""","36'3""",50',"171'7.5""","171'7.5""",NA,7',7',10',"85'5""","85'5""",30',0,0,"15'9""","18'2""","13'10""","15'9""","36' (avg ht 31'8"")","36' (avg ht 31'8"")",35',"79'2""","79'2""",NA,"17'5""","21'6""",NA,0,0,30%,2,2,4,3,3,2,NA,NA,NA,"57'3""","57'3""",10',There is an existing 3 car garage built of concrete block with a concrete and steel roof structure at the rear of the property. Proposed new entry porch will be wood frame construction.,A literal enforcement of the Zoning Ordinance would involve a substantial hardship in that it would prevent the propoerty owner from constructing a building code compliant entry porch to the existing side entries. The current side entrance has non-compliant concrete steps and lacks any roof for weather protection.,The proposed entry porches will enhance the appearance of the house without substantial detriment to the public good as the porches are not along the public wayand they will make the entries safer for residents and visitors.,"Desirable relief may be granted without nullifying or substantially derogating from the intent or purpose of this Ordinance because the proposed entry porches are consistent with scale of the neighborhood, and with the style of the house.",The hardship is owing to the narrow lot which was subdivided between the two sides of the structure which was originally built in 1902. Because the lot is narrow there is insufficient room for an entry porch without impinging on the side yard setback.,,,,,,Somerville,MA,10/31/2018
BZA-016991-2018,08/10/2018,Variance,Variance:  To operate a retail bakery in a residential B zone previously occupied as a bakery.,Approved,"407 Concord Ave
Cambridge, MA
(42.385685, -71.138241)",,,Residential,Yes,No,"Commercial, per variance",Commercial,Residence B Zone,,,10/25/2018,11/29/2018,Yes,4.000,4.35.R (Bakery Retail).,,,,,,,,,,,,,"Petitioner seeks to open a retail bakery in this building, which is in Residential Zone B. The building has been used for commercial purposes sinde 1965, most recently as a retail bakery, per BZA variance in Case No. BZA-007726-2015, decision filed 9/30/2015. The bakery most recently there -- Violette Bakery -- has moved out of Cambridge.",Variance:  To operate a retail bakery in a residential B zone previously occupied as a bakery.,437,437,1957,3914,no change,5000,.243,.243,.5,n/a,n/a,2500,no change,98,50,no change,80,50,58,no change,15,0,no change,15,15,no change,7.5,10,no change,sum=20,10,no change,35,25,no change,35,25,no chsnge,25,n/a,n/a,40%,0,n/a,1,4 (8 total),no change,1,1,n/a,n/a,only one building on the lot,no change,n/a,"There is one, garage-style building on the lot. The lot is described at 407-409 Concord Avenue.","This building has operated as a commercial. retail establishment since 1965. The hardship is the shape and structure of the garage-style, one-story building, which is not amenable to residentail use.","This relief will result in no change to the past operations of the building, and these past operations caused no substantial detriment to th public good, nor does it nullify the intent and purpose of the Ordinance. In addition, the business will provide a source of homemade cakes.","This relief will result in no change to the past operations of the building, and these past operations caused no substantial detriment to th public good, nor does it nullify the intent and purpose of the Ordinance. In addition, the business will provide a source of homemade cakes.","This building has operated as a commercial. retail establishment since 1965. The hardship is the shape and structure of the garage-style, one-story building, which is not amenable to residentail use.",,,,,,Cambridge,MA,11/15/2018
BZA-003533-2014,04/01/2014,Variance/Special Permit,Variance:  To add a second dwelling unit within the single family residence.  To add an exterior open  staircase as a second egress for the new unit. Special Permit:  To reduce the required parking.,Denied,"21 CORNELIUS WAY
Cambridge, MA
(42.368996, -71.088939)",,,Residential,Yes,Yes,single family,two family,Residence C-1 Zone,06/12/2014,08/06/2014,06/12/2014,07/17/2014,Yes,5.000,5.26 (Conversion).,5.000,5.31 (Table of Dimensional Requirements).,6.000,6.35 (Reduction of Required Parking).,11.000,11.16.2 (Townhouse Parking),,,,,,,"Petitioner seeks to add a second dwelling unit within his single family residence, to reduce by one space the required parking  for such unit, and to add an exterior open staircase as a second egress for the new unit.",Variance:  To add a second dwelling unit within the single family residence.  To add an exterior open  staircase as a second egress for the new unit. Special Permit:  To reduce the required parking.,2605,2605,4686,6248,6248,5000,0.42,0.42,0.75,6248,3124,1500,45 avg,45 avg.,50,143 avg,143 avg,n/a,31 avg,31 avg,10,84 avg,84 avg,25,10.4,10.4,8.4,0,0,8.4,31,31,35,28 avg,28 avg,n/a,38.5,38.5,n/a,0.62,0.62,0.30,1,2,2,1,1,2,n/a,n/a,n/a,n/a,n/a,n/a,,See Attached,See Attached,See Attached,See Attached,See Attached,See Attached,See Attached,See Attached,See Attached,Belmont,MA,06/23/2014
BZA-003581-2014,04/09/2014,Variance,Variance:  To construct a greenhouse expansion in the rear garden.,Approved,"3 CLEMENT CIRCLE
Cambridge, MA
(42.381257, -71.131432)",,,,Yes,No,Residence,Residence,Residence A-2 Zone,,,06/13/2014,07/18/2014,Yes,5.000,5.31 (Table of Dimensional Requirements).,,,,,,,,,,,,,Greenhouse expansion in rear garden.,Variance:  To construct a greenhouse expansion in the rear garden.,5764,5849,3594,7190,7190,6000,.80,.81,.50,7190,7190,6000,76,76,65,na,na,na,17.8,17.8,20,24.4,18.4,25,5 min,5 same,1010sum25,1.8 min,1.8 same,10sum25,30.6,35,30.6,68,68,na,37.8,43.8,na,67.9%,65.6%,50%,1,1,1,na,na,na,na,na,na,na,na,na,none,Pre-existing conditions have the house closer to property lines at some points than presently allowed even though the overall open space is more generous than allowed and would remain so with the addition of the small green house. These owners wish to enjoy and continue living in this house through retirement and enjoy gardening and care of their special plants.,The greenhouse addition will be an attractive addition to the rear garden replacing a deteriorated wood deck. These owners maintain a beautiful garden and need to preserve plants during winter. This small new greenhouse will be only marginally visible from the street.,"The single family residential nature of this house, surrounded by private gardens will be enhanced by this addition.",Clement Circle is unique in its cul de sac configuration in this area of Cambridge.,,,,,,Boston,MA,07/09/2014
BZA-003613-2014,04/13/2014,Variance,Withdrawn before stamped w/City Clerk's Office.  Applicant submitted revised application Case BZA-003670-2014.,Withdrawn,"249 Walden Street
Cambridge, MA
(42.386254, -71.130796)",,"4.29, 4.31, 5.20, 5.26, 6.20",Residential,Yes,No,Commercial & Residential,Residential,Business A Zone,,,,,Yes,4.29,Converting Non Res Structures to Residential Use,4.31,Residential Uses,5.20,Standards for Dimensional Regulations,5.26,Conversion of Dwellings,6.20,Off Street Parking Regulations,,,,,"The site of the former Masse Hardware, a Cambridge institution that closed its doors in 2013, is a combination of two lots. The lot at the corner of Cambridge and Sherman Street, 243 Walden Street, housed the now-vacant Hardware store on the ground level (with basement storage), and 4 apartments above. The second, adjoining lot, at 241 Walden Street, is occupied by a brick and block warehouse/garage structure that adjoins the Hardware store lot. The warehouse/garage building aldo continues around the Hardware store building, with a garage entrance on Sherman Street.The Petitioner proposes to remove the warehouse/garage structure to create a driveway and parking area(s) and to discontinue the retail use of the former Hardware store space, converting that space to two residential dwelling units (for a total of 6 units).",,"15,312","12,318","11,106","6,346","6,346","5,000",2.41,1.94,1.75,"1,587","1,058",600,74.67',74.67',50',85',85',n/a,.4' over,.4' over,(h+l)/6 w/ 10' min,n/a,n/a,n/a,n/a,n/a,n/a,.2',22.8',13.5',36',36',45',n/a,n/a,n/a,n/a,n/a,n/a,0%,0%,15%,4,6,10,1,8,2,n/a,n/a,n/a,n/a,n/a,n/a,,"The lots at 241 and 243 Walden Street are occupied by a mixed-use commercial/residential building and a warehouse/garage building. The retail use of the building at 243 Walden Street has been discontinued and is not intended by the owner to be reopened. The warehouse/garage building at 241 Walden Street provides no use or benefit to the residential use of the combined lots. If the owner is not permitted to remove the warehouse/garage building to create a driveway and parking spaces, or to replace the retail use of the former Masse Hardware store on the first floor (and basement storage area) with two residential dwelling units it would provide a substantial financial hardship to the owner, primarily the unused retail space and warhouse/garage, with no corresponding benefit to the City.","The removal of the retail use and the substitution of two additional residential dwelling units at the property will cause no detriment to the public good whatsoever. In fact, the proposed use will reduce traffic at the busy intersection of Walden and Sherman Streets.",The removal of the retail use and the substitution of two additional residential dwelling units at the property will in no way nullify or derogate from the intent or purpose of the Ordinance. Two new residential dwelling units in a former retail location is a desirable outcome and one general favored by City policies.,"The two adjoining lots which, as combined, served the needs of the Hardware store and the 4 residential dwelling units. With the closing of the retail business, the need for the warehouse/garage building is no longer present and that building is not utilized. Without the ability to remove the warehouse/garage building, the owner will be unable to provide required parking for the residential dwelling units (4 existing, two additional proposed) and will be unable to construct the two additional dwelling units, and generally be unable to make a change in the current use of the property. These conditions do not generally exist in the zoning district in which the property is located.",,,,,,Arlington,MA,
BZA-016995-2018,08/13/2018,Variance/Special Permit,Variance:  To construct an addition (two dwelling units).Special Permit:  To reduce the parking requirements.,Approved,"194 HARVARD ST
Cambridge, MA
(42.366966, -71.0977)",,,4.31 & 4.35,Yes,Yes,Retail/Restaurant,Mixed Use (retail/residential),Residence C-1 Zone,10/19/2018,01/09/2019,10/19/2018,11/23/2018,Yes,5.000,5.31 (Table of Dimensional Requirements).,6.000,6.35.1 (Reduction of Parking).,10.000,10.30 (Variance).,10.000,10.40 (Special Permit).,,,,,,,Petitioner request Variance relief to construct an addition (two dwelling units) and a Special Permit to reduce the parking requirement.,Variance:  To construct an addition (two dwelling units).Special Permit:  To reduce the parking requirements.,"3,483sf","7,710sf","3,273sf","4,365sf","4,365sf","5,000sf",.798,1.77,.75,n/a,"2,182sf","1,500sf",65',65',50',64.5',64.5',n/a,0,0,10',0,0,10',7.3',7.3',7.5',.4',.4',7.5',14',31.17',35',66',66',n/a,59',59',n/a,.19,.13,30%,0,2,2,0,0,2,0,0,0,0,0,N/A,,"A literal enforcement of the Ordinance would involve a substantial hardship, financial because Petitioner received Variance approval in 2003 BZA Case No. (8641) and due to unforeseen circumstances Petitioners’ did not obtain a building permit before the Variance lapsed.lapsed.",Desirable relief may be granted without substantial detriment to the public good because the residential use is consistent with the multifamily properties along Columbia Street and the maintaining the ground floor retail use (Cammie's Bakery) will continue to be an asset to community and activate the street-scape.,The requested relief will not nullify or substantially derogate from the intent or purpose of this Ordinance because the two unit addition will allow for upgrades to Cammie's Bakery and add new constructed housing to Cambridge's housing stock.,The hardship is owing to the building being constructed with zero front yard setback for commercial purposes and not suitable for residential uses. Additionally the building has non-conforming setbacks and floor area ratio therefore any significant changes would require zoning relief.,With the requested Special Permit the requirements of the Ordinance can be satisfied.,"Traffic generated or patterns of access or egress will not cause congestion, hazard or substantial change in the neighborhood character because the Columbia Street Corridor contains mixed use properties that enliven the street and add much needed neighborhood amenities to the Port Neighborhood.",The continued operation or development of adjacent uses would not be adversely affected because the proposed use is residential that will be of a scale and character consistent with the surrounding properties.,"No nuisance or hazard will be created to the detriment of the health, safety and/or welfare of the occupants of the proposed use or citizens because the residential dwellings will conform to the setbacks and other dimensional regulations where possible.",The intent and purpose of the Ordinance is to promote the highest and best use of Land throughout the City. The proposed additional will allow Commies to make much need upgrades with additional rental income.,Cambridge,MA,11/15/2018
BZA-016997-2018,08/13/2018,Variance/Special Permit,Variance:  To add eight (8) dwelling units on two floors to an existing ground floor commerical building (formerly Ryles Jazz Club).Special Permit:  To reduce the parking requirement.,Approved,"212 HAMPSHIRE ST
Cambridge, MA
(42.373322, -71.100336)",,,,Yes,Yes,Retail/Restaurant/Commercial,Mixed Use (Residential/Commercial),Business A-2/Residence-C-2B Zone,10/19/2018,12/26/2018,10/19/2018,11/23/2018,Yes,5.000,5.31 (Table of Dimensional Requirements).,6.000,6.35.1 (Reduction in the Required parking).,10.000,10.30 (Variance).,10.000,10.40 (Special Permit).,,,,,,,Petitioner requests Variance relief to add eight (8) dwelling units on two floors to an existing ground floor commerical building (formerly Ryles Jazz Club) and Special Permit to reduce the parking requirement.,Variance:  To add eight (8) dwelling units on two floors to an existing ground floor commerical building (formerly Ryles Jazz Club).Special Permit:  To reduce the parking requirement.,"6,888sf","9,219sf","7,564sf","4,322sf","4,322sf",n/a,1.6,2.1,1.75,n/a,540sf,600sf,44.82',44.82',50',68',68',n/a,0,0,30',n/a,n/a,20',"3'-9""","3'-9""",h+l/5,0,0,h+l/5,"25'-4""","38'-9""",45',"80'-6""","80'-6""",n/a,"67'-3""","67'-3""",n/a,0,0,15%,0,8,n/a,0,0,8,0,0,0,0,0,0,,A literal enforcement of the Ordinance would involve a substantial hardship because the Property was sold with a series of onerous Use restrictions severly limiting the allowed uses. The proposed addition seeks to rebuild the former second and third story that was destroyed by fire. Without relief the Petitioner would be relegated to a ground floor commercial use that is less desirable to the neighborhood and would not allow for the proposed restoration of the facade including rebuilding the second and third stories.,Desirable relief may be granted without detriment to the public good because the proposed addition will restore the exterior of the property to its former glory and additionally one of the eight (8) proposed units will be an income restricted dwelling unit.,Desirable relief may be granted without nullifying or substantially derogating from the intent of the Ordinance because the proposed additions will allow for a restoration of the structure and add much needed housing to Cambridge's aging housing stock.,The hardship is owing to the pre-existing non-conforming structure that was built prior to zoning such that any addition or alteration would require relief. Additionally the deeded Use restrictions that run with the land also necessitate additional density to make the project viable.,With the requested Special Permit the requirements of the Ordinance can be satisfied.,"Traffic generated or patterns of access or egress will not cause congestion, hazard or substantial change in the neighborhood character because the Hampshire Street Corridor contains mixed use properties that enliven the street and add much needed neighborhood amenities to the Mid-Cambridge Neighborhood. Further the proposal received a Certificate of Appropriateness from the Mid-Cambridge Conservation Commission.",The continued operation or development of adjacent uses would not be adversely affected because the proposed mixed use is of a scale and character consistent with the surrounding properties. Further the addition of Residential will support the smaller/locally owned retail in Inman Square.,"No nuisance or hazard will be created to the detriment of the health, safety and/or welfare of the occupants of the proposed use or citizens because the residential dwellings will be conform to the setbacks and other dimensional regulations where possible. Additionally the project will increase the amount of permeable area by providing green roofs and screening of mechanicals.",The intent and purpose of the Ordinance is to promote the highest and best use of Land throughout the City. The proposed additions will allow for a vibrant ground floor commercial use that is supported by the occupants of the residences above.,Camrbidge,MA,11/09/2018
BZA-003649-2014,04/16/2014,Variance,Variance:  To re-construct roof deck on 3 unit condo building.,Approved,"508 GREEN STREET
Cambridge, MA
(42.367461, -71.108847)",,,Residential (condo),Yes,No,Residential (condo),Residential (condo),Residence C-1 Zone,,,06/21/2014,07/26/2014,Yes,5.000,5.31 (Table of Dimensional Requirements).,8.000,8.22.3 (Alteration to Non-Conforming Structure),,,,,,,,,,,"Petitioner seeks to re-construct roof deck on 3 unit condo building, after removal necessary to replace underlying roof after a storm.",Variance:  To re-construct roof deck on 3 unit condo building.,"3,194","3,604","2,393","3,190","3,190","4,500",1.00,1.13,0.75,"1,063","1,063","1,500",35,35,50,90,90,--,5.4',5.4',10',37.6',37.6',20',2',2',10.9',10',10',10.9',29',34.5' *,35',46.8',46.8',-,30.5',30.5',-,43%,43%,30%,3,3,2,1,1,3,n/a,n/a,n/a,n/a,n/a,n/a,N/A.  * Proposed height of 34.5' is measured to the top of proposed roof deck railing.,SEE ATTACHED SUPPORTING STATEMENT,SEE ATTACHED SUPPORTING STATEMENT,SEE ATTACHED SUPPORTING STATEMENT,SEE ATTACHED SUPPORTING STATEMENT,,,,,,Boston,MA,07/09/2014
BZA-005317-2014,10/08/2014,Special Permit,"Special Permit:  To add, relocate and to enlarge windows on both sides of the property that are located within the setback.",Approved,"259 261 BROOKLINE ST
Cambridge, MA
(42.357684, -71.107683)",,,Two Family Residential,No,Yes,Two Family Residential,No Change,Residence C Zone/SD-9,12/13/2014,02/04/2015,,,Yes,5.000,5.31 (Table of Dimensional Requirements).,8.000,8.22.1 & 8.22.2.C (Non-Conforming Structure).,10.000,10.40 (Special Permit).,,,,,,,,,"Petitioner requests special permit relief to add, relocate and or enlarge windows on both sides of the property that are located within the setback.","Special Permit:  To add, relocate and to enlarge windows on both sides of the property that are located within the setback.",2587,No Change,"2,188.8",3648,No Change,5000,.71,No Change,.6,1824,No Change,1800,No Change,45.6',50,No Change,80',0,8.7',No Change,10'min,"30'6""",No Change,20'min,0,No Change,10.4',5.6',No Change,10.4',32',No Change,35',40.8',No Change,0,40',No Change,0,47%,No Change,36%,2,No Change,2,0,No Change,0,0,No Change,0,n/a,No Change,0,none,,,,,With the requested special permits the requirements of the ordinance will be met.,"No congestion, hazard, or substantial change in the established neighborhood character will result from approval of the proposed additional windows because the windows will provide the required light and air as well as allow for the renovation of this neighborhood eyesore.",The continued operation of or the development of adjacent uses will not be adversely affected because there is no change to the proposed as a two family residential dwelling.  In fact the structure is in such poor condition the adjacent properties will be benefit from the renovation.,"No nuissnace or hazard will be created nor will any detriment to the health, safety and/or welfare of the of occupants of the proposed use or the citizens of the City because the property abuts a public park  and the street on three of the four sides of the property and will  have minimal impact on abutter privacy.",Granting the requested relief will allow this vacant eyesore to be renovated and will add much needed quality housing to Cambridge's housing stock.,Cambridge,MA,12/19/2014
BZA-016999-2018,08/14/2018,Variance,"Variance:  To establish commercial business of (Fortune Teller Tarot Card). There is a pre-existing non-conforming use already but, not for fortune teller.",Approved,"163 HAMPSHIRE ST
Cambridge, MA
(42.371655, -71.09831)",,,,Yes,No,multi use residential,multi use residential,Residence C-1 Zone,,,10/19/2018,11/23/2018,Yes,4.000,4.35.A.2 (Retail Use-Fortune Teller).,,,,,,,,,,,,,"Establish commercial business of (Fortune Teller Tarot Card). There is a pre-existing non-conforming use already but, not for fortune teller.","Variance:  To establish commercial business of (Fortune Teller Tarot Card). There is a pre-existing non-conforming use already but, not for fortune teller.",800,800,3082,4108,4108,5000,2.7,2.7,.75,457,457,1500,72,72,50,58,58,58,0,0,18.5,0,0,16.3,0,0,10.4,8.5,8.5,10.4,39,39,39,71,71,71,50,50,50,0,0,30,9,9,2,0,0,0,0,0,0,0,0,0,,"The leased premises is commercial multi use in an area of many multi use buildings and has been used as a commercial venue. The use to a fortune teller business needs a variance and woud continue its previous use,",Use is allowed in commercial zones. There are two other existing fortune tellers in the city.,Area is zoned c-1(unofficial) but consists of existing commercial shops in the same building. It has had a preexisting non conforming use before.Use of space wil not nulloify or substantially derogate the intent or purpose of the use.,This is a corner lot with preexisting residential and commercialuse and is unsuitable for residential on the first floor.,,,,,,Everett,Ma,01/09/2019
